time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10621,2,0,2,2,0,4,0,0,,0,0,6
10622,2,0,0,0,0,4,0,0,,0,0,8
10623,2,0,0,2,0,4,2,0,,0,0,12
10624,2,0,2,0,0,2,0,0,,0,0,6
10625,2,0,0,2,0,4,0,0,,0,0,8
10626,2,0,2,2,0,2,0,0,,0,0,8
10627,2,0,2,2,0,2,0,0,,0,0,6
10628,2,0,0,0,0,2,0,0,,0,0,6
10629,2,0,2,2,0,2,0,0,,0,0,6
10630,2,0,0,2,0,4,0,0,,0,0,8
10631,2,0,0,0,0,4,0,0,,0,0,8
10632,2,0,2,2,0,4,0,0,,0,0,10
10633,2,0,2,2,0,4,0,0,,0,0,6
10634,2,0,0,0,0,4,0,0,,0,0,10
10635,2,0,2,2,0,4,0,0,,0,2,8
10636,2,0,0,0,0,2,0,0,,0,0,6
10637,2,0,0,2,0,2,0,0,,0,0,6
10638,2,0,2,0,0,2,2,0,,0,0,8
10639,2,0,0,2,0,4,0,0,,0,0,10
10640,2,0,2,0,0,2,0,0,,0,0,4
10641,2,0,0,2,0,4,0,0,,0,0,8
10642,2,0,2,2,0,4,0,0,,0,0,8
10643,2,0,2,0,0,2,0,0,,0,0,6
10644,2,0,0,0,0,4,0,0,,0,0,8
10645,2,0,2,0,0,4,0,0,,0,0,8
10646,2,0,0,2,0,2,0,0,,0,0,8
10647,2,0,2,0,0,4,0,0,,0,0,8
10648,2,0,2,2,0,2,0,0,,0,0,6
10649,2,0,2,2,0,2,0,0,,0,0,4
10650,2,0,0,0,0,4,0,0,,0,0,10
10651,2,0,2,0,0,4,0,0,,0,0,8
10652,2,0,2,0,0,4,0,0,,0,0,10
10653,2,0,2,2,0,2,0,0,,0,0,6
10654,2,0,0,0,0,4,0,0,,0,0,8
10655,2,0,2,2,0,4,0,0,,0,0,8
10656,2,0,0,2,0,2,0,0,,0,0,6
10657,2,2,0,0,0,4,0,0,,0,0,10
10658,2,2,0,2,0,2,0,0,,0,0,6
10659,2,0,2,0,0,4,0,0,,0,0,8
10660,2,0,2,2,0,2,0,0,,0,0,8
10661,2,0,2,0,0,4,0,0,,0,0,8
10662,2,0,2,0,0,4,0,0,,0,0,8
10663,2,0,0,2,0,2,0,0,,0,2,8
10664,2,0,2,0,0,2,0,0,,0,0,6
10665,2,0,0,2,0,4,0,0,,0,0,8
10666,2,0,2,0,0,2,0,0,,0,0,6
10667,2,0,2,2,0,2,0,0,,0,0,6
10668,2,0,0,0,0,4,0,0,,0,0,10
10669,2,0,2,0,0,4,0,0,,0,0,6
10670,2,0,0,2,0,2,0,0,,0,0,4
10671,2,0,0,2,0,4,0,0,,0,0,10
10672,2,0,2,0,0,4,0,0,,0,0,8
10673,2,0,0,0,0,2,0,0,,0,0,6
10674,2,0,2,2,0,2,0,0,,0,0,4
10675,2,0,0,2,0,4,0,0,,0,0,6
10676,2,0,0,0,0,2,0,0,,0,0,8
10677,2,0,2,0,0,4,0,0,,0,0,8
10678,2,0,0,0,0,2,0,0,,0,0,6
10679,2,0,0,2,0,4,0,0,,0,0,10
10680,2,0,2,2,0,4,0,0,,0,0,10
10681,2,0,2,2,0,4,0,0,,0,2,8
10682,0,0,0,2,0,2,0,0,,0,0,2
10683,2,0,0,2,0,4,0,0,,0,0,10
10684,2,0,2,0,0,2,0,0,,0,0,6
10685,2,0,0,0,0,4,0,0,,0,0,6
10686,2,0,0,2,0,2,0,0,,0,0,6
10687,2,0,2,2,0,4,0,0,,0,0,8
10688,2,0,0,0,0,2,0,0,,0,0,8
10689,2,0,2,0,0,4,0,0,,0,0,8
10690,2,0,0,2,0,2,0,0,,0,0,6
10691,2,0,2,2,0,2,0,0,,0,0,6
10692,2,0,2,2,0,2,0,0,,0,0,8
10693,2,0,2,0,0,4,0,0,,0,0,8
10694,2,0,0,0,0,2,0,0,,0,0,6
10695,2,0,2,2,0,4,0,0,,0,0,8
10696,2,0,0,2,0,4,0,0,,0,0,10
10697,2,0,2,0,0,4,0,0,,0,0,6
10698,0,0,0,2,0,4,0,0,,0,0,4
10699,2,0,0,2,0,4,0,0,,0,0,10
10700,2,0,2,0,0,2,0,0,,0,0,6
10701,2,0,0,0,0,4,0,0,,0,0,8
10702,2,0,2,2,0,4,0,0,,0,0,8
10703,0,0,0,2,0,2,0,0,,0,2,4
10704,2,0,0,0,0,4,0,0,,0,0,10
10705,2,0,2,2,0,2,0,0,,0,0,6
10706,2,0,0,0,0,2,0,0,,0,0,6
10707,2,0,0,2,0,4,0,0,,0,0,8
10708,2,0,2,2,0,4,0,0,,0,0,10
10709,2,0,2,2,0,4,0,0,,0,0,8
10710,2,0,0,0,0,4,0,0,,0,0,8
10711,2,0,2,2,0,2,0,0,,0,0,6
10712,2,0,0,2,0,2,0,0,,0,0,6
10713,2,0,2,0,0,2,0,0,,0,0,4
10714,2,0,0,2,0,2,0,0,,0,0,6
10715,2,0,0,0,0,4,0,0,,0,0,8
10716,2,0,2,0,0,4,0,0,,0,0,8
10717,2,0,0,2,0,2,0,0,,0,0,6
10718,2,0,2,0,0,4,0,0,,0,0,8
10719,2,0,0,2,0,4,0,0,,0,0,6
10720,2,0,0,0,0,2,0,0,,0,0,8
10721,2,0,2,2,0,2,0,0,,0,0,6
10722,2,0,2,0,0,4,0,0,,0,0,8
10723,2,0,0,2,0,4,0,0,,0,0,6
10724,2,0,0,0,0,4,0,0,,0,0,6
10725,2,0,0,2,0,2,0,0,,0,0,6
10726,2,0,2,0,0,2,0,0,,0,0,6
10727,2,0,0,0,0,4,0,0,,0,0,8
10728,2,0,2,0,0,2,0,0,,0,0,6
10729,2,0,0,2,0,4,0,0,,0,0,8
10730,2,0,0,0,0,4,0,0,,0,0,8
10731,2,0,2,2,0,4,0,0,,0,0,8
10732,2,0,0,2,0,2,2,0,,0,0,6
10733,2,0,0,0,0,2,0,0,,0,0,8
10734,2,0,2,2,0,4,0,0,,0,0,6
10735,2,0,0,0,0,4,0,0,,0,0,10
10736,2,0,2,2,0,4,0,0,,0,0,8
10737,2,0,2,0,0,2,0,0,,0,0,6
10738,2,0,0,2,0,2,0,0,,0,0,8
10739,2,0,2,0,0,2,0,0,,0,0,4
10740,2,0,0,2,0,4,0,0,,0,0,8
10741,0,0,2,2,0,4,0,0,,0,0,8
10742,0,0,2,0,0,2,0,0,,0,0,2
10743,2,0,0,0,0,4,0,0,,0,0,8
10744,2,0,2,2,0,2,0,0,,0,0,6
10745,2,0,0,0,0,2,0,0,,0,0,6
10746,2,0,2,0,0,4,0,0,,0,0,8
10747,2,0,0,2,0,2,0,0,,0,0,6
10748,2,0,0,0,0,2,0,0,,0,0,8
10749,2,0,2,2,0,4,0,0,,0,0,6
10750,2,0,0,2,0,4,0,0,,0,0,10
10751,2,0,2,2,0,4,0,0,,0,0,6
10752,2,0,0,0,0,4,2,0,,0,0,10
10753,2,0,2,2,0,2,0,0,,0,0,6
10754,2,0,2,0,0,2,0,0,,0,0,6
10755,2,0,0,0,0,2,0,0,,0,0,6
10756,2,0,2,0,0,4,0,0,,0,0,8
10757,2,2,0,2,0,2,0,0,,0,0,8
10758,2,0,2,0,0,2,0,0,,0,0,6
10759,2,0,2,0,0,4,0,0,,0,0,8
10760,2,0,0,2,0,4,0,0,,0,0,8
10761,2,0,2,0,0,2,2,0,,0,0,6
10762,2,0,0,2,0,2,0,0,,0,0,6
10763,0,0,2,0,0,4,0,0,,0,0,6
10764,2,0,2,0,0,4,0,0,,0,0,8
10765,2,0,0,0,0,2,0,0,,0,0,6
10766,2,0,2,0,0,4,0,0,,0,0,10
10767,2,0,2,2,0,4,0,0,,0,0,6
10768,2,0,0,0,0,4,0,0,,0,0,10
10769,2,0,2,2,0,2,0,0,,0,0,8
10770,2,0,2,0,0,4,0,0,,0,0,6
10771,2,0,0,2,0,4,0,0,,0,0,8
10772,2,0,0,2,0,2,0,0,,0,0,6
10773,2,0,0,0,0,2,0,0,,0,0,6
10774,2,0,2,2,0,4,0,0,,0,0,8
10775,2,0,2,2,0,4,0,0,,0,0,6
10776,2,0,0,0,0,2,0,0,,0,0,8
10777,2,0,2,0,0,4,0,0,,0,0,6
10778,2,0,0,0,0,4,0,0,,0,0,10
10779,2,0,2,2,0,2,0,0,,0,0,6
10780,2,0,2,0,0,2,0,0,,0,0,4
10781,2,0,0,2,0,4,0,0,,0,0,10
10782,2,0,2,0,0,4,0,0,,0,0,8
10783,2,0,0,0,0,2,0,0,,0,0,6
10784,2,0,2,2,0,4,0,0,,0,0,10
10785,2,0,2,2,0,2,0,0,,0,0,6
10786,2,0,0,0,0,2,0,0,,0,0,6
10787,2,0,2,2,0,2,0,0,,0,0,4
10788,2,0,0,2,0,2,0,0,,0,0,8
10789,2,0,2,0,0,2,0,0,,0,0,4
10790,2,0,0,0,0,2,0,0,,0,0,6
10791,2,0,0,2,0,2,0,0,,0,0,6
10792,2,0,2,0,0,4,2,0,,0,0,8
10793,2,0,0,2,0,2,0,0,,0,0,6
10794,2,0,0,0,0,4,0,0,,0,0,8
10795,0,0,0,0,0,4,0,0,,0,0,6
10796,2,0,2,2,0,4,0,0,,0,0,10
10797,2,0,2,2,0,4,0,0,,0,0,10
10798,2,0,2,0,0,2,0,0,,0,0,4
10799,2,0,0,2,0,4,0,0,,0,0,8
10800,2,0,2,2,0,4,0,0,,0,0,8
10801,2,0,0,0,0,2,0,0,,0,0,8
10802,2,0,2,0,0,4,0,0,,0,0,10
10803,2,0,2,2,0,4,0,0,,0,0,6
10804,2,0,0,2,0,2,0,0,,0,0,6
10805,2,0,2,2,0,4,0,0,,0,0,8
10806,2,0,0,0,0,2,0,0,,0,0,6
10807,2,0,0,0,0,2,0,0,,0,0,6
10808,2,0,2,2,0,4,0,0,,0,0,8
10809,2,0,2,2,0,4,0,0,,0,0,10
10810,2,0,2,0,0,4,0,0,,0,0,8
10811,2,0,0,0,0,2,0,0,,0,0,8
10812,2,0,2,2,0,4,0,0,,0,0,6
10813,2,0,0,2,0,4,2,0,,0,0,10
10814,2,0,2,2,0,4,0,0,,0,0,10
10815,2,0,2,0,0,4,0,0,,0,0,8
10816,2,0,0,0,0,2,0,0,,0,0,4
10817,2,0,0,2,0,2,0,0,,0,0,8
10818,2,0,2,2,0,2,0,0,,0,0,6
10819,2,0,0,0,0,4,0,0,,0,0,10
10820,2,0,2,2,0,4,0,0,,0,0,8
10821,2,0,0,2,0,4,0,0,,0,0,6
10822,2,0,0,2,0,4,0,0,,0,0,8
10823,2,0,2,2,0,4,0,0,,0,0,8
10824,2,0,0,0,0,4,0,0,,0,0,10
10825,2,0,2,0,0,4,0,0,,0,0,8
