time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10621,2,0,2,2,0,4,0,0,,0,0,10
10622,2,0,0,0,0,4,0,0,,0,0,6
10623,2,0,0,2,0,4,2,0,,0,0,10
10624,2,0,2,0,0,2,0,0,,0,0,6
10625,2,0,0,2,0,4,0,0,,0,0,8
10626,2,0,2,2,0,2,0,0,,0,0,8
10627,2,0,2,2,0,2,0,0,,0,0,8
10628,2,0,0,0,0,2,0,0,,0,0,4
10629,2,0,2,2,0,2,0,0,,0,0,8
10630,2,0,0,2,0,4,0,0,,0,0,8
10631,2,0,0,0,0,4,0,0,,0,0,6
10632,2,0,2,2,0,4,0,0,,0,0,10
10633,2,0,2,2,0,4,0,0,,0,0,10
10634,2,0,0,0,0,4,0,0,,0,0,6
10635,2,0,2,2,0,4,0,0,,0,2,12
10636,2,0,0,0,0,2,0,0,,0,0,4
10637,2,0,0,2,0,2,0,0,,0,0,6
10638,2,0,2,0,0,2,2,0,,0,0,8
10639,2,0,0,2,0,4,0,0,,0,0,8
10640,2,0,2,0,0,2,0,0,,0,0,6
10641,2,0,0,2,0,4,0,0,,0,0,8
10642,2,0,2,2,0,4,0,0,,0,0,10
10643,2,0,2,0,0,2,0,0,,0,0,6
10644,2,0,0,0,0,4,0,0,,0,0,6
10645,2,0,2,0,0,4,0,0,,0,0,8
10646,2,0,0,2,0,2,0,0,,0,0,6
10647,2,0,2,0,0,4,0,0,,0,0,8
10648,2,0,2,2,0,2,0,0,,0,0,8
10649,2,0,2,2,0,2,0,0,,0,0,8
10650,2,0,0,0,0,4,0,0,,0,0,6
10651,2,0,2,0,0,4,0,0,,0,0,8
10652,2,0,2,0,0,4,0,0,,0,0,8
10653,2,0,2,2,0,2,0,0,,0,0,8
10654,2,0,0,0,0,4,0,0,,0,0,6
10655,2,0,2,2,0,4,0,0,,0,0,10
10656,2,0,0,2,0,2,0,0,,0,0,6
10657,2,2,0,0,0,4,0,0,,0,0,8
10658,2,2,0,2,0,2,0,0,,0,0,8
10659,2,0,2,0,0,4,0,0,,0,0,8
10660,2,0,2,2,0,2,0,0,,0,0,8
10661,2,0,2,0,0,4,0,0,,0,0,8
10662,2,0,2,0,0,4,0,0,,0,0,8
10663,2,0,0,2,0,2,0,0,,0,2,8
10664,2,0,2,0,0,2,0,0,,0,0,6
10665,2,0,0,2,0,4,0,0,,0,0,8
10666,2,0,2,0,0,2,0,0,,0,0,6
10667,2,0,2,2,0,2,0,0,,0,0,8
10668,2,0,0,0,0,4,0,0,,0,0,6
10669,2,0,2,0,0,4,0,0,,0,0,8
10670,2,0,0,2,0,2,0,0,,0,0,6
10671,2,0,0,2,0,4,0,0,,0,0,8
10672,2,0,2,0,0,4,0,0,,0,0,8
10673,2,0,0,0,0,2,0,0,,0,0,4
10674,2,0,2,2,0,2,0,0,,0,0,8
10675,2,0,0,2,0,4,0,0,,0,0,8
10676,2,0,0,0,0,2,0,0,,0,0,4
10677,2,0,2,0,0,4,0,0,,0,0,8
10678,2,0,0,0,0,2,0,0,,0,0,4
10679,2,0,0,2,0,4,0,0,,0,0,8
10680,2,0,2,2,0,4,0,0,,0,0,10
10681,2,0,2,2,0,4,0,0,,0,2,12
10682,0,0,0,2,0,2,0,0,,0,0,4
10683,2,0,0,2,0,4,0,0,,0,0,8
10684,2,0,2,0,0,2,0,0,,0,0,6
10685,2,0,0,0,0,4,0,0,,0,0,6
10686,2,0,0,2,0,2,0,0,,0,0,6
10687,2,0,2,2,0,4,0,0,,0,0,10
10688,2,0,0,0,0,2,0,0,,0,0,4
10689,2,0,2,0,0,4,0,0,,0,0,8
10690,2,0,0,2,0,2,0,0,,0,0,6
10691,2,0,2,2,0,2,0,0,,0,0,8
10692,2,0,2,2,0,2,0,0,,0,0,8
10693,2,0,2,0,0,4,0,0,,0,0,8
10694,2,0,0,0,0,2,0,0,,0,0,4
10695,2,0,2,2,0,4,0,0,,0,0,10
10696,2,0,0,2,0,4,0,0,,0,0,8
10697,2,0,2,0,0,4,0,0,,0,0,8
10698,0,0,0,2,0,4,0,0,,0,0,6
10699,2,0,0,2,0,4,0,0,,0,0,8
10700,2,0,2,0,0,2,0,0,,0,0,6
10701,2,0,0,0,0,4,0,0,,0,0,6
10702,2,0,2,2,0,4,0,0,,0,0,10
10703,0,0,0,2,0,2,0,0,,0,2,6
10704,2,0,0,0,0,4,0,0,,0,0,6
10705,2,0,2,2,0,2,0,0,,0,0,8
10706,2,0,0,0,0,2,0,0,,0,0,4
10707,2,0,0,2,0,4,0,0,,0,0,8
10708,2,0,2,2,0,4,0,0,,0,0,10
10709,2,0,2,2,0,4,0,0,,0,0,10
10710,2,0,0,0,0,4,0,0,,0,0,6
10711,2,0,2,2,0,2,0,0,,0,0,8
10712,2,0,0,2,0,2,0,0,,0,0,6
10713,2,0,2,0,0,2,0,0,,0,0,6
10714,2,0,0,2,0,2,0,0,,0,0,6
10715,2,0,0,0,0,4,0,0,,0,0,6
10716,2,0,2,0,0,4,0,0,,0,0,8
10717,2,0,0,2,0,2,0,0,,0,0,6
10718,2,0,2,0,0,4,0,0,,0,0,8
10719,2,0,0,2,0,4,0,0,,0,0,8
10720,2,0,0,0,0,2,0,0,,0,0,4
10721,2,0,2,2,0,2,0,0,,0,0,8
10722,2,0,2,0,0,4,0,0,,0,0,8
10723,2,0,0,2,0,4,0,0,,0,0,8
10724,2,0,0,0,0,4,0,0,,0,0,6
10725,2,0,0,2,0,2,0,0,,0,0,6
